id,title,severity,component,description,impact,kind,report
possibility-of-setting-different-management-teams-for-assets-within-the-same-pool--pallet-bonded-coins--low,Possibility of setting different management teams for assets within the same pool,Low,pallet-bonded-coins,"The `reset_team` function updates the management team for only a single currency at a time. Since a pool can contain multiple currencies, this can create a scenario where different entities manage different currencies within the same pool.","Inconsistent control across assets in a single pool can lead to unexpected behavior and operational disruptions, especially if one currency is frozen while others are not.",Access Control,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
unused-owner-parameter-in-reset-team-function--pallet-bonded-coins--informational,Unused _owner parameter in reset_team function,Informational,pallet-bonded-coins,"The `reset_team` function implementation within the traits module includes an `_owner` parameter that is never used. The function logic ignores this parameter and instead retrieves the owner directly from the `AssetsPallet`, which could lead to incorrect assumptions in the code.",The unused parameter can cause confusion for developers and potentially lead to mismatches or incorrect assumptions about the function's behavior.,Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
missing-validations-of-currencies-list-during-pool-creation--pallet-bonded-coins--informational,Missing validations of currencies list during pool creation,Informational,pallet-bonded-coins,"The `create_pool` extrinsic lacks validation to prevent multiple currencies with identical metadata (name and symbol) from being created within the same pool. Additionally, it does not enforce a non-empty pool constraint, allowing for the creation of empty, non-functional pools.","Allowing duplicate currency metadata can cause user confusion, while the creation of empty pools serves no functional purpose and clutters the state.",Input Validation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
minimal-error-handling-in-try-from-implementation--pallet-bonded-coins--informational,Minimal error handling in try_from implementation,Informational,pallet-bonded-coins,"The `try_from` implementation in the square-root curve logic uses a simplistic error type, returning an empty `()` value on failure. This provides no context about the nature of the conversion failure.",The lack of detailed error information makes debugging and error handling more challenging for developers and users interacting with the pallet.,Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
redundant-defensive-assertion-in-refund-account-function--pallet-bonded-coins--informational,Redundant defensive assertion in refund_account function,Informational,pallet-bonded-coins,A defensive assertion in the `refund_account` function checks if `sum_of_issuances` is greater than or equal to the `burnt` amount. This check is redundant because the logic immediately preceding it guarantees this condition is always met.,"While not harmful, the redundant code adds unnecessary complexity and can be removed to simplify the codebase.",Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
inconsistent-pool-lock-state--pallet-bonded-coins--informational,Inconsistent pool lock state,Informational,pallet-bonded-coins,The `set_lock` extrinsic allows a pool to be marked as `PoolStatus::Locked` even if minting and burning operations are still enabled. The function does not validate that both `allow_mint` and `allow_burn` are set to false when applying the locked status.,"This can lead to an inconsistent state where a pool appears to be locked but operations are still permitted, potentially confusing users and dApp developers.",Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
possible-optimization-in-polynomial-curve--pallet-bonded-coins--informational,Possible optimization in polynomial curve,Informational,pallet-bonded-coins,"The `calculate_costs` function in the polynomial curve implementation performs calculations for terms involving coefficients `m` and `n` without first checking if they are zero. If a coefficient is zero, the corresponding calculation is redundant.",Unnecessary computations consume computational overhead. Adding pre-checks for zero-value coefficients would bypass these calculations and improve efficiency.,Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
manager-change-allowed-in-destroying-state-pools--pallet-bonded-coins--informational,Manager change allowed in destroying state pools,Informational,pallet-bonded-coins,The `reset_manager` function does not prevent a manager change for a pool that is in a non-live or destroying state. Allowing a manager change for a pool being decommissioned could lead to inconsistencies.,Permitting manager changes on pools being destroyed could lead to unintended control transfers or complicate the decommissioning process.,Access Control,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
contracts-should-implement-a-two-step-ownership-transfer--pallet-bonded-coins--informational,Contracts should implement a two-step ownership transfer,Informational,pallet-bonded-coins,"The `reset_manager` extrinsic uses a one-step ownership transfer, which presents a risk of losing ownership if the new owner's address is incorrect. A two-step process, where a new owner is proposed and must then claim ownership, is recommended to prevent this.","A one-step transfer risks permanent loss of contract control if an incorrect address is provided, potentially locking the pool's administrative functions.",Design,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
unresolved-todo-and-fixme-comments-in-the-codebase--unspecified--informational,Unresolved TODO and FIXME comments in the codebase,Informational,unspecified,"Over 40 `TODO` and `FIXME` comments were identified throughout the codebase. These comments indicate areas with pending tasks, known issues, or required improvements that have not yet been addressed.",Leaving unresolved `TODO` and `FIXME` comments can lead to technical debt and may hide potential underlying issues that should be addressed.,Documentation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
missing-event-emission-for-reset-team--pallet-bonded-coins--informational,Missing event emission for reset_team,Informational,pallet-bonded-coins,"The `reset_team` extrinsic, which updates administrative roles like admin and freezer, does not emit an event upon successful execution. This lack of notification makes it difficult for off-chain tools and listeners to track administrative changes.","Without an event, off-chain tracking and governance monitoring systems may become inconsistent with the on-chain state of administrative roles.",Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
redundant-manager-and-team-updates-are-allowed--pallet-bonded-coins--informational,Redundant manager and team updates are allowed,Informational,pallet-bonded-coins,The `reset_team` and `reset_manager` extrinsics do not validate whether the new values being set are different from the existing ones. This allows for redundant updates to be executed.,Executing redundant updates consumes system resources and transaction fees unnecessarily without changing the system's state.,Implementation,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
dependencies-are-subject-to-publicly-known-vulnerabilities--unspecified--informational,Dependencies are subject to publicly known vulnerabilities,Informational,unspecified,"The project's dependencies are not up-to-date and contain publicly known vulnerabilities in libraries such as `rustls`, `curve25519-dalek`, and `idna`. Additionally, some dependencies like `parity-util-mem` are deprecated.",Using outdated dependencies with known vulnerabilities can expose the project to security risks that have already been discovered and fixed in newer versions.,Dependency,2025 Q1/kilt-oak-2502/kilt-oak-2502.json
implementation-error-allows-attackers-to-impersonate-any-circuitrole--circuit-pallet--high,Implementation error allows attackers to impersonate any CircuitRole,High,Circuit pallet,"A coding error in the `authorize` function within the Circuit pallet allows any user to impersonate critical roles such as Requester, Relayer, and Executor. The function correctly checks for a signed origin but fails to validate that the caller actually possesses the specified `CircuitRole`, thereby allowing any user to execute permissioned extrinsics.","Any user can impersonate infrastructure-critical users and perform permissioned transactions, such as bidding on side effects, escrowing funds, or canceling transactions.",Authorization,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
extrinsic-allows-takeover-of-gateways-escrow-account--xdns-pallet--high,Extrinsic allows takeover of gateway's escrow account,High,Xdns pallet,"The `reboot_self_gateway` extrinsic in the xdns pallet can be called by any signed user, who can then set their own account as the gateway's escrow account. This is because the logic uses the caller's signed account ID to establish the new escrow, lacking a necessary permission check to restrict this action to a root or admin origin.","An attacker can take over a gateway's escrow account, leading to fraudulent transactions and the complete loss of escrowed funds.",Access Control,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
underweight-extrinsics-may-cause-block-production-timeout--circuit-pallet--high,Underweight extrinsics may cause block production timeout,High,Circuit pallet,"Multiple extrinsics within the circuit pallet have weights that were benchmarked without considering worst-case computational scenarios, such as iterating over a list of maximum possible length. This oversight allows for the creation of blocks that are heavier than the network expects.","Attackers can craft transactions that create overweight blocks, potentially causing block production timeouts. This can significantly slow down transaction processing and could stall the chain if validators consistently miss their block production slots.",Operational,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
general-benchmarking-mismatch-across-multiple-extrinsics--circuit-and-xdns-pallets--high,General benchmarking mismatch across multiple extrinsics,High,Circuit and xdns pallets,"In the circuit and xdns pallets, some extrinsics reuse weight functions from other, different extrinsics. This practice leads to a mismatch between the actual computational requirements of an extrinsic and its assigned execution cost, resulting in underweighted transactions.","The use of inaccurate, under-weighted extrinsics enables the creation of overweight blocks, which can disrupt block production and potentially halt the chain.",Operational,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
extrinsics-that-have-default-weights-should-be-properly-benchmarked--circuit-and-attesters-pallets--high,Extrinsics that have default weights should be properly benchmarked,High,Circuit and attesters pallets,"Several extrinsics across the t3rn codebase are assigned a default, hardcoded weight rather than a weight derived from proper benchmarking. For instance, the `claim` extrinsic in the circuit pallet lacks authentication and uses a default weight, allowing any user to call it without paying a fee appropriate for its execution time.","This allows malicious actors to spam the blockchain with computationally intensive transactions at a low cost, potentially bloating block size and stalling the chain.",Operational,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
insecure-randomness-algorithm-for-attesters-shuffling--runtime--medium,Insecure randomness algorithm for Attester's shuffling,Medium,Runtime,"The selection of Attesters is randomized using the `RandomnessCollectiveFlip` pallet, which derives its seed from the hashes of the last 81 blocks. This method is known to be insecure for production environments as the outcome is predictable.","A malicious collator who is also an active participant in the Attesters set could predict and manipulate the randomness outcome. This would allow them to ensure their own selection in future committees, gaining an unfair financial advantage.",Cryptography,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
overlapping-values-for-isteleporter-and-isreserve--runtime--medium,Overlapping values for IsTeleporter and IsReserve,Medium,Runtime,"In the XCM configuration, the `IsTeleporter` and `IsReserve` settings are configured with overlapping values for native assets. This allows the same assets to be both teleported and reserve-transferred from the relay chain, a practice that should be mutually exclusive for a given asset.",An attacker can exploit this misconfiguration to drain funds from the `CheckedAccount` by repeatedly reserve-transferring and teleporting back the same assets. This would cause a denial-of-service for legitimate users.,Configuration,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
identityfee-used-to-configure-weighttofee--runtime--medium,IdentityFee used to configure WeightToFee,Medium,Runtime,"The `TransactionPayment` pallet is configured to use `IdentityFee` for its `WeightToFee` implementation. This sets the transaction fee equal to its weight, without applying any scaling or conversion, and fails to account for the network's current economic conditions or congestion.","This simplistic fee calculation can lead to a significant underestimation of transaction fees, allowing malicious network participants to spam the chain with cheap transactions.",Design,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
incorrect-benchmarks-for-dependency-pallets--runtime--low,Incorrect benchmarks for dependency pallets,Low,Runtime,"The project's benchmarks were generated using a generic template substrate-runtime, not the actual t3rn runtime. This approach fails to accurately measure the performance of dependency pallets within the specific configuration of the t3rn parachain.",Incorrectly benchmarked weights can lead to overweight extrinsics becoming non-callable or underweight extrinsics creating network instability.,Operational,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
lack-of-authorization-in-extrinsic-exposes-potential-for-spamming--circuit-vacuum-pallet--informational,Lack of authorization in extrinsic exposes potential for spamming,Informational,Circuit/Vacuum pallet,"Several extrinsics, including `read_order_status` and `read_all_pending_order_status` in the Circuit/Vacuum pallet, do not have an origin check. This means they can be called by any entity on the network without authorization or fee payment.","The absence of an origin check allows attackers to waste chain resources by repeatedly calling these extrinsics, exposing the blockchain to spamming attacks at no cost to the attacker.",Authorization,2024 H1/2401-t3rn-srl/2401-t3rn-srl.json
static-calculation-of-weights-for-the-claim-reward-extrinsic-enables-dos-attack-vector--lend-market--high,Static calculation of weights for the claim_reward extrinsic enables DoS attack vector,High,lend-market,"The `claim_reward` function iterates over all existing markets to collect rewards. However, the extrinsic's weight calculation is static and does not account for the number of markets, meaning the fee does not correlate with the computational resources used. This allows for a situation where executing claims across many markets costs the same as a single claim.","An attacker could register a large number of markets and then execute the `claim_reward` extrinsic to overload chain nodes for a disproportionately small fee, potentially leading to a denial-of-service attack.",Design,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
price-feeder-centralization-risks--prices--medium,Price feeder centralization risks,Medium,prices,"In the `prices` pallet, the privileged `FeederOrigin` is permitted to set arbitrary emergency prices without any validation on the provided values. This could be exploited if the `FeederOrigin` key is compromised or if an incorrect price is submitted due to an input error, as even a price of zero is accepted.","A malicious actor with access to the `FeederOrigin` account could manipulate asset prices, leading to incorrect valuations and potentially causing widespread wrongful liquidations of user assets.",Access Control,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
multiple-foreign-asset-id-can-be-mapped-to-the-same-asset-id--prices--medium,Multiple foreign_asset_id can be mapped to the same asset_id,Medium,prices,"The `set_foreign_asset` extrinsic allows a privileged origin to map a `foreign_asset_id` to an `asset_id`. However, the function lacks a check to ensure the `asset_id` is not already associated with a different `foreign_asset_id`, permitting multiple foreign assets to be linked to the same internal asset.","This vulnerability could lead to market misconfigurations and unpredictable system behavior, as the protocol might not handle asset pricing and accounting correctly.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
missing-check-that-foreign-asset-id-is-specifically-of-the-foreignasset-type--prices--medium,Missing check that foreign_asset_id is specifically of the ForeignAsset type,Medium,prices,"The `set_foreign_asset` extrinsic does not verify that the provided `foreign_asset_id` is of the `ForeignAsset` type. It is only identified as a generic `CurrencyId`, allowing the privileged `UpdateOrigin` to map any asset type, not just foreign assets.","This could lead to incorrect system configurations and unexpected behavior if non-foreign assets are improperly mapped, potentially affecting asset management and pricing logic.",Input Validation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
default-mantissa-precision-can-lead-to-an-incorrect-price--prices--medium,Default mantissa precision can lead to an incorrect price,Medium,prices,"The `get_asset_mantissa` function is used to determine the decimal precision for a given asset. If it cannot find the decimal information for a specified `asset_id`, it defaults to a precision of 12 decimals instead of returning an error.","An incorrect mantissa calculation due to a misconfiguration or missing asset information would lead to erroneous price valuations, affecting all financial calculations involving that asset.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
missing-validation-for-the-lend-token-id--lend-market--medium,Missing validation for the lend_token_id,Medium,lend-market,"The `force_update_market` function allows a privileged origin to assign a new `lend_token_id` to a market. However, it fails to verify whether the specified `lend_token_id` is already in use as a market, a check that is present elsewhere in the codebase.","This oversight could lead to inconsistencies in market configuration, as a token not designed to be a market could be assigned as one, potentially breaking market invariants and behavior.",Input Validation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
the-force-update-market-extrinsic-could-break-existing-markets--lend-market--medium,The force_update_market extrinsic could break existing markets,Medium,lend-market,"The `force_update_market` function permits a privileged origin to forcibly replace an existing market's parameters without ensuring the coherence of the new data. For example, it could set a `collateral_factor` outside the valid [0,1] range.","A misconfigured or malicious update could break market operations, disrupt invariants, and potentially lead to a loss of funds for users interacting with the affected market.",Access Control,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
static-calculation-of-weights-for-the-update-liquidation-fee-collateral-extrinsic--lend-market--medium,Static calculation of weights for the update_liquidation_fee_collateral extrinsic,Medium,lend-market,"The `update_liquidation_fee_collateral` extrinsic takes a vector of collaterals as a parameter, but the weight calculation for the extrinsic is static. It does not account for the number of items in the `collaterals` vector.","The fee charged for the extrinsic is uncorrelated with the computational resources used, which could be exploited. This creates an unfair fee structure and a potential vector for inefficient resource usage.",Design,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
missing-validation-of-liquidate-incentive-reserved-factor-during-market-update--lend-market--medium,Missing validation of liquidate_incentive_reserved_factor during market update,Medium,lend-market,"When updating a market via the `update_market` function, the `liquidate_incentive_reserved_factor` parameter is not validated to be within the expected (0,1) range. This check is correctly performed when a market is first added, but is missing on update.","Setting this factor outside the valid range could lead to incorrect calculations of incentives during liquidations, potentially causing unexpected financial losses or gains and breaking market mechanics.",Input Validation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
incorrect-interest-is-calculated-if-requested-before-market-initialization--lend-market--medium,Incorrect interest is calculated if requested before market initialization,Medium,lend-market,"When the `get_market_status` function is called for a market that has not yet been used, the `last_accrued_interest_time` variable defaults to zero. This causes the interest accrual period to be inaccurately computed from January 1, 1970.","This leads to a significant miscalculation of interest for the market, which could result in incorrect accounting and financial reporting until the market is properly initialized.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
inefficient-active-markets-search--lend-market--informational,Inefficient active markets search,Informational,lend-market,"The `ensure_active_market` function searches for a market by iterating through all markets with O(n) complexity. This operation could be performed in constant time, O(1), by using the `market` storage map directly.","The current implementation causes the execution to incur higher gas costs due to unnecessary iteration, reducing the overall efficiency of the protocol.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
inefficient-market-data-aggregation--lend-market--informational,Inefficient market data aggregation,Informational,lend-market,"The `get_lf_base_position` function iterates through all active markets to aggregate collateral data. However, the queried market data is not retained, even though it is re-queried later by another function, leading to redundant calculations.","This causes the execution to incur higher costs due to unnecessary and repeated storage reads and calculations, making the operation less efficient.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
redundant-storage-queries--lend-market--informational,Redundant storage queries,Informational,lend-market,"The `pallets/lend-market/src/lib.rs` file exhibits multiple instances of redundant on-chain storage queries. For example, storage is first checked for a key's existence and then a second query is made to fetch the value, where a single query would suffice.","Minimizing the number of storage queries would enhance both performance and code clarity, leading to lower gas costs and a more efficient implementation.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
code-duplication--lend-market--informational,Code duplication,Informational,lend-market,"The `pallets/lend-market/src/lib.rs` file contains multiple instances of duplicated code logic. For example, the code fragments in lines 1144-1152 and 1158-1166 are nearly identical, as are fragments in lines 1312-1325 and 1280-1293.","Code duplication undermines maintainability and increases the risk of introducing bugs, as fixes and updates must be applied in multiple places.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
the-get-special-asset-price-function-consistently-returns-none--prices--informational,The get_special_asset_price function consistently returns None,Informational,prices,"In `pallets/prices/src/lib.rs`, the `get_special_asset_price` function is designed to return a `TimeStampedPrice` value. However, the implementation consistently returns `None`, rendering the function ineffective.","This behavior is misleading to developers and callers of the function, and it represents dead code that serves no purpose, potentially indicating a logic error or incomplete implementation.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
inefficient-reduce-reserves-extrinsic-execution-in-case-of-reduce-reserves-parameter-equal-to-zero--lend-market--informational,Inefficient reduce_reserves extrinsic execution in case of reduce_reserves parameter equal to zero,Informational,lend-market,"The `reduce_reserves` extrinsic takes a `reduce_amount` as a parameter. If this amount is zero, the function proceeds to perform all its operations unnecessarily, which is inefficient and could be misleading.","Executing the function with a zero amount wastes computational resources and gas, and could be prevented with a simple check at the beginning of the function.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
use-of-magic-numbers-decreases-maintainability--lend-market--informational,Use of magic numbers decreases maintainability,Informational,lend-market,"Throughout the codebase, hard-coded number literals are used without context or a descriptive name (e.g., in `farming.rs:28` and `rate_model.rs:173`). This practice, known as using 'magic numbers', goes against best practices.","Using magic numbers reduces code readability and maintainability, as developers cannot easily understand their purpose and may introduce inconsistencies when making changes.",Documentation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
state-change-events-are-emitted-even-if-no-change-has-occurred--lend-market--informational,State change events are emitted even if no change has occurred,Informational,lend-market,"When updating market parameters, success events like `MarketRewardSpeedUpdated` or `UpdatedMarket` are emitted regardless of whether any state has actually changed. If no optional values are specified in the call, the state remains the same but an event is still emitted.","This is inconsistent with the function's logic and can be misleading for off-chain tools and UIs that rely on events to track state changes, leading to unnecessary processing.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
miscellaneous-comments--unspecified--informational,Miscellaneous comments,Informational,unspecified,"The report identifies several minor issues: an overflow error is incorrectly labeled as underflow, an `assert` should be a `use`, a `NotSupportTokenType` should be reworded, and an inequality should be `greater than or equal to` instead of just `greater than` based on implementation logic.","These minor issues relate to code clarity, correctness, and consistency. Addressing them would improve the overall quality and maintainability of the codebase.",Implementation,2024 H1/2401-bifrost-oak/2401-bifrost-oak.json
nexus-runtime-waives-xcm-message-delivery-fee--parachain-runtime-nexus--high,Nexus runtime waives XCM message delivery fee,High,parachain/runtime/nexus,"The Nexus runtime does not set the FeeManager for XCM configuration, waiving all fees for XCM messages. This allows an attacker to send messages without paying any delivery fee.","An attacker can cause network congestion, storage exhaustion, and dropping of messages by sending a high volume of free messages.",Configuration,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
no-xcm-delivery-fees-configured-for-sibling-parachain-messages--parachain-runtime-nexus--high,No XCM delivery fees configured for sibling parachain messages,High,parachain/runtime/nexus,"The Nexus runtime configuration sets the PriceForSiblingDelivery to NoPriceForMessageDelivery, meaning no fees are charged for XCM messages across parachains. This allows attackers to send spam messages across chains without payment.","Excessive spam messages could lead to XCM queue size exhaustion due to excessive storage usage, causing message delivery delays for legitimate users.",Configuration,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
stack-exhaustion-due-to-missing-decodelimit--modules-ismp-pallets-call-decompressor--high,Stack exhaustion due to missing DecodeLimit,High,modules/ismp/pallets/call-decompressor,The extrinsic `decompress_call` in `pallet-call-decompressor` accepts a compressed call that is decoded without a depth limit. An attacker can create deeply nested calls that exhaust the stack size during decoding due to excessive recursion.,"If a malicious call is sent through a bridge that requires forced execution, it could permanently stall the receiving chain, causing a denial of service.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
incorrect-weight-configuration-in-nexus-runtime--parachain-runtimes-nexus--high,Incorrect weight configuration in Nexus runtime,High,parachain/runtimes/nexus,"The weights for ISMP, XCM, and other Substrate pallets are misconfigured in the Nexus runtime, with some pallets using TestWeightInfo or weights set to zero. This makes the execution cost for these extrinsics effectively zero.","An attacker can spam the network with zero-cost transactions, leading to network storage bloating and degraded performance.",Configuration,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
missing-runtime-benchmark-for-ismp-pallets--parachain-runtimes-nexus--high,Missing runtime benchmark for ISMP pallets,High,parachain/runtimes/nexus,"The configurable weights for several pallets in the ISMP module, such as `pallet-assets` and `pallet-ismp`, are not included in the runtime benchmarks. This can result in overweight or underweight extrinsics.","Incorrect benchmarking can lead to low-effort attacks such as spamming, storage bloating, and block stalling when invoking the affected extrinsics.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
unsigned-extrinsics-allow-to-execute-ismp-messages-for-free--modules-ismp--high,Unsigned extrinsics allow to execute ISMP messages for free,High,modules/ismp,"ISMP messages are implemented as unsigned extrinsics, which allows a malicious attacker to freely execute these messages without being subject to fees or blacklisting. Although checks exist to prevent spamming the transaction pool, this can be circumvented if valid FraudProofMessages are sent repeatedly.","An attacker can spam the network with messages without facing any direct consequences, potentially leading to denial of service or network degradation.",Access Control,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
fishermen-can-veto-statecommitment-after-the-challenge-period--modules-ismp-pallets-fishermen--medium,Fishermen can veto StateCommitment after the challenge_period,Medium,modules/ismp/pallets/fishermen,"In the `veto_state_commitment` extrinsic, Fishermen can veto a `StateCommitment` without checking if the challenge period has elapsed. Fishermen are not required to submit fraud proofs, allowing them to repeatedly veto canonical chain states.","A compromised or rogue Fisherman could veto valid state commitments after the challenge period, creating instability and compromising the integrity of the system.",Design,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
missing-priority-in-fraud-proof-messages--modules-ismp--medium,Missing priority in Fraud Proof messages,Medium,modules/ismp,Fraud Proof messages are handled with the same priority as other ISMP message types. This can lead to a valid Fraud Proof being delayed or censored if there are many other messages in the queue.,A malicious consensus client can inflict more faults into the consensus mechanism and will not be frozen promptly if fraud proofs are not processed in a timely manner.,Design,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
same-consensus-client-can-be-frozen-repeatedly--modules-ismp--medium,Same consensus client can be frozen repeatedly,Medium,modules/ismp,"A valid Fraud Proof message submitted via an unsigned extrinsic can be used to freeze a byzantine consensus client. However, there is a lack of checks to prevent the same valid proof from being submitted multiple times to repeatedly freeze the same client.","A malicious user can spam the chain by repeatedly submitting the same valid Fraud Proof message for free, as they are sent via unsigned extrinsics.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
missing-benchmarking-to-calculate-weights--modules-ismp-pallets--low,Missing benchmarking to calculate weights,Low,modules/ismp/pallets,"The weights of extrinsics in the `call-decompressor`, `fishermen`, and `relayer` pallets are not based on benchmark values and instead have a fixed value. Incorrect fee calculation due to a lack of benchmarking can be exploited.","An attacker could exploit low fees to flood the network with transactions, which is a particular risk for unsigned extrinsics that can be submitted in large numbers.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
unbounded-loop-leading-to-block-production-stalling--modules-ismp-pallets-pallet--informational,Unbounded loop leading to block production stalling,Informational,modules/ismp/pallets/pallet,The `ismp-demo` pallet allows dispatching request messages to EVM chains via the `dispatch_to_evm` extrinsic. This extrinsic contains an unbounded loop that could be abused.,An attacker could call the extrinsic with a high `count` value to halt block production on the chain. The issue was closed as the demo pallet is not for production use.,Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
timeout-overflow-due-to-unsafe-arithmetic-in-request-dispatch--modules-ismp-pallets-demo--informational,Timeout overflow due to unsafe arithmetic in request dispatch,Informational,modules/ismp/pallets/demo,"When a request is dispatched via ISMP, a malicious actor can trigger an integer overflow in the `timeout_timestamp` computation by providing a very high number in the timeout field. This causes the timeout to represent a timestamp in the past.","The request will expire before it is even sent. While not a current security risk, it could become problematic if bridge operators are penalized for timeouts in the future.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
missing-fraud-proof-implementation-for-beacon-consensus-clients--modules-ismp-clients-sync-committee--informational,Missing Fraud Proof implementation for Beacon consensus clients,Informational,modules/ismp/clients/sync-committee,The `verify_fraud_proof` function is not implemented for the Beacon consensus client. Any attempt to submit a Fraud Proof message for the Beacon chain will be rejected.,"The Beacon consensus client cannot be frozen after an invalid consensus state, allowing the Relayer to continue relaying messages and resulting in multiple invalid transactions.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
failure-of-transfer-success-may-result-in-unexpected-behavior--evm-src-hosts-evmhost-sol--high,Failure of transfer success may result in unexpected behavior,High,evm/src/hosts/EvmHost.sol,There are multiple instances of unchecked return values when interacting with the `transfer()` and `transferFrom()` functions of external ERC-20 contracts. This makes it impossible to halt execution upon failed transfers.,"In the case of `fundRequest()` and `fundResponse()`, the funding status and value would be recorded incorrectly regardless of whether the token transfer succeeded, leading to undefined system behavior and potential financial loss.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
denial-of-service-to-host-configuration-updates--evm-src-hosts-evmhost-sol--medium,Denial of service to host configuration updates,Medium,evm/src/hosts/EvmHost.sol,"When the host configuration `_hostParams` is updated, the logic iterates over an unbounded storage array `_hostParams.fishermen`. If the number of entries in this array is set too high by the host manager, it would be impossible to update any configuration parameters.","A misconfiguration would cause the update transaction to revert with an out-of-gas error, permanently locking the host configuration.",Implementation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
configuration-could-be-locked-without-zero-address-sanity-checks--evm-src-hosts-evmhost-sol--low,Configuration could be locked without zero-address sanity checks,Low,evm/src/hosts/EvmHost.sol,"When updating the host parameters via `updateHostParamsInternal()`, the `hostManager` data field is not checked for the zero-address. A misconfiguration of this field would make the function unreachable.","If the `hostManager` is accidentally set to the zero-address, all host configurations would be permanently locked as the update function would be inaccessible.",Input Validation,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
configuration-could-be-locked-due-to-the-finality-of-updates--evm-src-hosts-evmhost-sol--low,Configuration could be locked due to the finality of updates,Low,evm/src/hosts/EvmHost.sol,"Updates to the privileged `hostManager` contract address are done in a single step, which increases the attack surface for misconfiguration and human error. There is no confirmation step or escape clause.","A misconfiguration, such as setting a new `hostManager` address that lacks required functionality, would be unrectifiable and could permanently lock critical host functionality.",Process,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
missing-event-emissions-would-impede-off-chain-monitoring--evm-src--low,Missing event emissions would impede off-chain monitoring,Low,evm/src,"Throughout the codebase, there are instances of unsatisfactory support for off-chain monitoring solutions, as the transmission of necessary system data via events was often neglected. This makes it difficult to track system activity and respond to incidents.","The inability to efficiently triage live exploits in a timely manner would amplify the associated impact of any given exploit, as remediation is more challenging when caught late.",Operational,2024 H1/2405-hyperbridge-srl/2405-hyperbridge-srl.json
